Link,Name,Comment,Rate
https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s3-gps-42mm-vien-nhom-day-cao-su-den,Apple Watch S3 GPS 42mm viền nhôm xám dây cao su màu đen MTF32VN/A,Sản phẩm tốt xài rất tiện lợi nhân viên tư vấn nhiệt tình rất hơp với giá tiền,5
https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s3-gps-42mm-vien-nhom-day-cao-su-den,Apple Watch S3 GPS 42mm viền nhôm xám dây cao su màu đen MTF32VN/A,Sản phẩm rất ok pin dùg tốt khoảg 2ngay giá tốt Và rất hợp với giá tiền rất ưng ý với sp,5
https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s3-gps-42mm-vien-nhom-day-cao-su-den,Apple Watch S3 GPS 42mm viền nhôm xám dây cao su màu đen MTF32VN/A,"SP tốt, Pin xài nhiều khoảng 2 ngày hơn. Còn thường thì hơn 3 ngày mới hết pin. Xài nhìn sang chảnh phải biết :)))",5
https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s3-gps-42mm-vien-nhom-day-cao-su-den,Apple Watch S3 GPS 42mm viền nhôm xám dây cao su màu đen MTF32VN/A,Sản phẩm tốt xài ngon lành pin xài 3 ngay mới hết nghe gởi ok nhân viên từ vấn đề thường,5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-42mm,Đồng hồ thông minh Samsung Galaxy Watch 42mm,"Pin thực sự rất yếu, thời gian sac pin rất lâu so với công bố 1h30 như web đưa ra, bật full kết nối pin 75% dùng từ 7h30 đến 18h30 còn 15%. Sạc từ 19h00 13% đến 22h30 mới lên được 100%, đeo ngủ từ 22h30 đến 6h30 sáng mất 16%. Cần cân nhắc kỹ trước khi xuống tiền. Đang băn khoăn trả hàng về vụ pin sạc và sử dụng ko như công bố đây. Ad tư vấn mình vụ này nhé trả hàng hoặc lên bản 46mm thủ tục như thế nào. Mới mua dùng đc 3 ngày.",2
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-42mm,Đồng hồ thông minh Samsung Galaxy Watch 42mm,"Sài rất tốt,nhắc nhở mình rất thường xuyên,pin thì rất ok,nói chung tầm tiền này là rất hợp lý.....cơ mà mua hôm trước hôm sau giảm 700k,🤣🤣🤣",4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-42mm,Đồng hồ thông minh Samsung Galaxy Watch 42mm,"Dùng được gần 3thang .pin yếu,dễ trầy xước.",1
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-42mm,Đồng hồ thông minh Samsung Galaxy Watch 42mm,dùng ok. pin cũng được đẹp vừa tay loa hơi bé . test nước ok luôn 99d cho ss . check mã s/n ko lỗi hàng hịn,5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-42mm,Đồng hồ thông minh Samsung Galaxy Watch 42mm,"a mới dùng Galaxy watch bản 42mm dùng rất ok, thiết kế và chất liệu rất đẹp, nhưng cho mình hỏi tgdd là sao khi nối bluetooth điện thoại Android dùng một khoảng thời gian (khoàng 20p) thì nó lại out ra kh nối với đt, chỉ khi nào vào lại kết nối ở Galaxy wear mới vào lại đc, cứ lặp lại như vậy? (nếu kh kết nối và đồng bộ với đt thì sẽ kh có thông báo từ smartphone)",5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Nếu mà để kết nối bluetooth suốt như này thì cả điện thoại và đồng hồ sẽ rất nhanh hết pin, điện thoại thì nóng! Mình sử dụng Galaxy note 9 kết nối thì rất ok, nhưng chỉ có điều sử dụng blutooth suốt như vậy thì thấy không ổn. Bên Apple người ta chỉ sử dụng ứng dụng mà đt không phải mở bluetooth như vậy thấy tiện hơn. Mới sử dụng nên chỉ thấy được bất tiện chổ đó. Mong nhà sản xuất điều chỉnh để không phải mở bluetooth suốt như vậy!",3
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Dùng ok nhưng pin ko dung dược qua ngay thư 3, nếu ss làm vòng benzen màu trắng và in khắc chi tiết chìm trên vòng thì quá tuyệt luôn",4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,Sản phẩm xài mượt mà. Có nhiều bài tập. Có rất nhiều mặt đồng hồ đẹp Gọi điện thoại nghe rõ ràng nếu ở nơi yên tĩnh. Nhưng pin xài tầm 2 ngày chứ không qua nổi ngày thứ 3. Không có hỗ trợ Samsung Pay là một điều thiếu xót so với gear s3,4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Sản phẩm tuyệt, pin trâu. Dây silicon nên nhìn hơi lúa xíu, mua dây khác lắp vào theo ý thích mỗi người. Rất nhiều mặt đồng hồ miễn phí và đẹp. Nhân viên ở TGDD ninh hòa 324-326 trần quý cáp. Phục vụ rất thiếu chuyên nghiệp. Mình vào mua mặc đồ bình dân là lơ lơ, mua xong chẳng màng đóng hộp lại bỏ vào túi cho mình mang về. Mình tự làm hết. Lần đầu tiên vào 1 TGDD phục vụ như vậy. Mong các bạn ân cần hơn. Phục vụ 2*",3
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Nhận thấy TGDD công bố tính năng, khả năng .... của sản phẩm chỉ theo nhà sản xuất, có lẻ vậy! Vì rất thích và luôn ủng hộ TGDD, nhưng nếu có bộ phận trải nghiệm thực tế, sau đó công bố các tính năng, chất lượng, khả năng của sản phẩm theo như bộ phận trải nghiệm ( kiểm tra thực tế sản phẩm), thì uy tín của TGDD sẽ tăng nhiều lần. Riêng sản phẩm này tôi hài lòng hầu hết, chỉ riêng phần pin thì chỉ được 2 ngày với mức sử dụng tiết kiệm, chứ không phải 5 ngày. Nếu công bố pin sử dụng khoảng trên dưới 2 ngày thì quá hài lòng sản phẩm. Nhưng công bố 5 ngày thì có cảm giác như là bị lường gạt mất rồi.",3
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,Pin chỉ dùng ko quá 2 ngày.thấy thất vọng so voi quảng cáo của ss.6h 30p dậy chỉ kết nối với dt có khoảng 5 đến 7 cuộc gọi đến(nghe bằng dt).đến 18 giờ chỉ còn 50% pin,3
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Đã mua hôm 20/01/2019. Dùng ok trong tầm giá nhưng thời lượng pin ko khác gì so với gear s3f,mặc dù quảng cáo dùng 5 ngày và hơn nhau đến hơn 100mAh.ss trang bị dây đeo silicon làm cho kém phần sang trọng nên kém sang trọn,nên kèm dây thép ko gi",4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Củng được , đẹp mà chỉ màu bạc hơi buồn , có màu đen như bản 42mm là mua ngay màu đen",4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Ngoại hình đẹp, nhiều chức năng hỗ trợ sức khỏe. Mặt đồng hồ quá nhiều sự lựa chọn, rất hài lòng. Pin dùng gần 2 ngày không qua được ngày thứ 3, tạm hài lòng.",4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Mua ngày 12.1.2019 xài rất tốt pin được 2 ngày nếu xài đầy đủ tính năng, pin xài được 3 ngày nếu xài ít hơn. Mình mua Galaxy Watch 46mm, tưởng to nhưng xài lâu thấy bình thường. Khá hài lòng với lựa chọn bản 46mm. Đồng bộ dữ liệu rất tốt với điện thoại của Samsung vì mình đang dùng Note 9.",5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Tạm ổn máy xài ok. Nhiều mặt đồng hồ để chọn. Tiếng to rõ , mình mới mua nên còn nhiều điều chưa biết được hết",4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,Mới mua hôm qua. Giao diện mặt đồng hồ nhiều hơn apple watch. Kích cỡ 46mm hơi to với tay người Việt. Kết nối với đt thua Apple watch.... một số tính năng auto chạy để check lại xem sao. Nói chung dùng cũng tạm chấp nhận với giá này.,4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,Dây đeo đau tay . ko dùg đc face. đc cái nghe dt và đi đườg tra bản đồ tiện lợi.,4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Vừa mua xong ,cảm thấy tuyệt...pin sài tầm 3 ngày ! Các tính năng khá tốt",4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Bản 46 mm hình thức đẹp, nam tính, pin 2-3 ngày với mức sử dụng của mình, có nhiều watchface để lựa chọn, chống nước tốt, loa ngoài hơi nhỏ, đeo lâu có cảm giác nặng tay.",4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Tuyệt vời ! Đẹp, pin trâu, nhiều tính năng tiện dụng... nói chung là ưng ý.",5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Lần đầu dùng Smartwatch của Samsung, bản 46 mm pin dùng từ được khoảng 2 ngày với nhu cầu của mình, đã test thử chống nước và đẩy nước ra khỏi đồng hồ. Khá tiện lợi, có điều Tizen Os ít ứng dụng và khó cài watchface ngoài như mấy chiếc chạy Android Wear.",4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Mua garmin mà dùng, pin 15 ngày...Đồng hồ sport watch chuyên về thể thao Gps dẫn đường. Mình đang dùng Garmin forerunner 935 k có gì để chê cả. Sámung và apple k bằng đâu...",2
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,"Ngoại hình ok, đeo nhìn sang chảnh tiện lợi , nhưng không thông báo cuộc gọi từ zalo (là lỗi hay không hộ trợ vậy qtv)",3
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,To và bự quá ko hợp với kiểu tay người việt nam. Mua về mới thấy ko hợp thua hàng apple watch nhiều biết vậy mua apple watch cho rồi với lại phần mềm bằng hệ điều hành tizen 4.0 ko phải android wear 2.0,1
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-42mm-rose-gold,Đồng hồ thông minh Samsung Galaxy Watch 42mm Rose Gold,"Màu hồng cho nữ đẹp, sang trọng, nhiều tiện ích. Nhưng so với tay nữ nhỏ thì mặt đồng hồ hơi dày.",5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-42mm-rose-gold,Đồng hồ thông minh Samsung Galaxy Watch 42mm Rose Gold,"Màu hồg nude đẹp và sang trọg, rất cá tính, dễ sử dụng, nhiều tiện ích. Thích lắm luôn.",5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-42mm-rose-gold,Đồng hồ thông minh Samsung Galaxy Watch 42mm Rose Gold,"Đồng hồ đẹp,điệu,dễ sử dụng,kèm sợi dây đeo màu nâu đẹp quá xá luôn. Nhân viên TGDD 9 Nguyễn Oanh dễ thương nhiệt tình quá trời luôn ah.",5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-42mm-rose-gold,Đồng hồ thông minh Samsung Galaxy Watch 42mm Rose Gold,"màu sắt tươi rất đẹp , thiết kế sang trọng không kém gì đồng hồ trang sức khả năng chống nước cao nhiều giao diện đẹp và thông minh",5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-42mm-rose-gold,Đồng hồ thông minh Samsung Galaxy Watch 42mm Rose Gold,"Mình cảm thấy hài Lòng khi sd sản phẩm này ,còn đang trong thời gian thư nghiệm Hi vọng là sẽ ổn,",4
https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-2,Đồng hồ thông minh Huawei Watch 2,"Thật sự thất vọng với sản phẩm này. Trải nghiệm 3 tháng của mình với nó như sau: Pin đồng hồ dùng được 1 ngày nếu không mở gps và wifi, nếu mở thì dùng được nữa ngày. Thường xuyên bị giật, lag khi cần thao tác màn hình. Màn hình sáng, đẹp. Và một ngày đẹp trời khi đang đeo nó trở nên nóng khủng khiếp, pin tuột nhanh, xong thì khởi động lại liên tục... Hazz đeo mà có cảm giác nó sẽ nổ. Các bạn cần tham khảo khi mua loại sản phẩm này.",1
https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-2,Đồng hồ thông minh Huawei Watch 2,"Đã mua, cái đầu tiên pin dùng chưa được 1 ngày, tầm 14 tiếng, pin tụt chóng mặt, cho nhân viên TGDD kiểm tra, có khoảng 10' mà tụt hẳn 5%pin. Đổi cái khác thì bất ngờ với thời lượng pin của cái thứ 2, mở đầy đủ các tính năng, bật luôn cả màn hình luôn hiển thị, xài được gần 3 ngày. Trước chấm 1, giờ nâng lên 3* vì chất lượng của cái thứ 2. Nếu không vấp phải cái đầu tiên pin quá kém thì quệt ngay 5*. Bạn nào đã mua mà pin quá kém thì mang ra TGDD cho kiểm tra và đổi xem sao nhé. Biết đâu may mắn như mình.",3
https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-2,Đồng hồ thông minh Huawei Watch 2,Đồng hồ tốt. Pin đủ xài đến ngày thứ 2 nếu biết cách dùng. Lưu ý 2 ngày ở đây tính đã bật bluetooth,5
https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-2,Đồng hồ thông minh Huawei Watch 2,Máy sài ổn định nhưng hay bị ngắt kết nối. Dung lượng pin sài đc 2 ngày. Không có thông báo từ zalo còn mọi thứ khác vẫn thông báo đầy đủ.,1
https://www.thegioididong.com/dong-ho-thong-minh/samsung-gear-s3-frontier,Đồng hồ thông minh Samsung Gear S3 Frontier,Sản phẩm rất tốt nhân viên thế giới di động nhiệt tình làm mình rất hài lòng và tin tưởng tuyệt đối với tgdd,4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-gear-s3-frontier,Đồng hồ thông minh Samsung Gear S3 Frontier,Đồng hồ sử dụng rất đẹp và tiện. Từ ngày mua thì k phải rút điện thoại xem thông báo nữa nên tiện hơn.,5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-gear-s3-frontier,Đồng hồ thông minh Samsung Gear S3 Frontier,"Mua ngày 25/01/2019, đồng hồ thật sự rất đẹp và sang, ứng dụng mặt đồng hồ nhiều lắm, lựa mệt nghỉ. Rất hữu ít, nên tìm hiểu kỹ các tính năng sẽ thấy nó rất vi diệu. Nhân viên tgdd dễ thương quá luôn, rất nhiệt tình. Cực kỳ hài lòng vs số tiền bỏ ra",5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-gear-s3-frontier,Đồng hồ thông minh Samsung Gear S3 Frontier,"pin xài tầm 3 ngày (nếu xem giờ & thông báo), kiểu đẹp cứng cáp, chíp cổ hơi yếu nhưng xài ổn, nói chung là OK",5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-gear-s3-frontier,Đồng hồ thông minh Samsung Gear S3 Frontier,"Đã mua ngày 11/12/2018, cảm thấy hài lòng và xứng đáng với số tiền gần 5 triệu đồng.",4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-gear-s3-frontier,Đồng hồ thông minh Samsung Gear S3 Frontier,"Sản phẩm rất hay bị rơi và văng khỏi dây đeo cao su. Độ sáng màn hình hơi thấp, nên ra ngoài đường hơi khó nhìn.",5
https://www.thegioididong.com/dong-ho-thong-minh/samsung-gear-s3-frontier,Đồng hồ thông minh Samsung Gear S3 Frontier,"Rất tốt Màn hình hiển thị tốt. Có thêm cảm biến nhịp tim nữa thì tuyệt quá. Không bám mồ hôi, đeo rất nhẹ",5
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-den,Vòng tay thông minh Huawei Band 3e màu đen,"Mua ngày 28 tết, lúc mở ra( dù đã đọc cm dưới bị rớt) mình vẫn bị rớt nhưng hok sao. Pin mở máy đc 60% xài toiw mùng 2 hết pin hok biết pin có bị sao không ? Máy hiển thị cuộc gọi nhưng hok bít làm cách nào để nghe cuộc gọi đc 🙄",3
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-den,Vòng tay thông minh Huawei Band 3e màu đen,"Sp tốt, nhẹ hiển thị nét nhưng cần thêm chức năng đo huyết áp và nhịp tim thì hay.",4
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-den,Vòng tay thông minh Huawei Band 3e màu đen,"Vừa mua, thấy ok, pin trâu, đẹp, rẻ, mà có điều ko có ngày tháng, vs nhân viên ko hiểu biết về đồng hòi lúc tư vấn phải vừa xem clip... hơi tệ trong phục vụ",4
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-den,Vòng tay thông minh Huawei Band 3e màu đen,"Lúc mở hộp bị rơi lăn lóc nhưng màn hình vẫn không xước,bể hay bị hỏng hóc gì cả . Mới mua nên cũng chưa biết chất lượng thế nào .",4
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-den,Vòng tay thông minh Huawei Band 3e màu đen,"Tốt! Pin đúng công bố, 14 ngày, chống nước thì mình thử bằng cách cho vào chai pet, đổ đầy nước cho vào tủ lạnh đông đá chơi, vẫn vô tư. Rất hài lòng! Nhất cách phục vụ của NV TGDD!",4
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-den,Vòng tay thông minh Huawei Band 3e màu đen,"Sản phẩm nhỏ, gọn, pin bền. Tiếc là không có lịch, nên cho 4* thôi. Nhân viên nhiệt tình.",4
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-den,Vòng tay thông minh Huawei Band 3e màu đen,sản phẩn này đối với tôi nhận thấy là sản phẩm đạt chất lượng và công nghệ mới phù hợp với giai đoạn này,4
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-den,Vòng tay thông minh Huawei Band 3e màu đen,Good ngon.pin max trâu.Tiếc là k có đo nhịp tim thôi.,4
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-den,Vòng tay thông minh Huawei Band 3e màu đen,"thiết kế nhỏ gọn, các chức năng sử dụng tốt, màn hình hiện thị sắc nét. đo được nhịp tim, phù hợp với các hoạt động thể thao",4
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-den,Vòng tay thông minh Huawei Band 3e màu đen,Máy htc one me của em không tải được huawei heath thì phải làm sao ạ . không có huawei heath sao dùng ạ,5
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-den,Vòng tay thông minh Huawei Band 3e màu đen,Về cơ bản đo bước chân. Giấc ngủ. Nhịp tim khá chuẩn.Mình là người cẩn thận. Nên không muốn đồ điện tử tiếp xúc nhiều với nước. Mặc dù có khả năng chống nước. Mới mua. Tạm thời không phát sinh lỗi gì. Cảm biến mắt thi thoảng phải lắc mới hiện giờ. Ưu điểm. Thời trang. Mục đích sử dụng thiết thực. Tuy nhiên giá hơi mặn chút so với chức năng sử dụng của sản phẩm. Thanks.,5
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-hong,Vòng tay thông minh Huawei Band 3e màu Hồng,"Lúc mình sạc pin màn hình bị sọc. Lần sau sạc thì không bị, mình mới mua 1 tháng. Giúp mình với.",4
https://www.thegioididong.com/dong-ho-thong-minh/samsung-gear-fit2-pro,Vòng đeo tay thông minh Samsung Gear Fit2 Pro,Đồng hồ thiết kế rất đẹp thông minh giúp theo dõi sức khỏe rất tiện lợi rất hài lòng về sản phẩm,3
