Link,Name,Brand,Price,Detail,Image
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-active-r500,Đồng hồ thông minh Samsung Galaxy Watch Active R500,Samsung,4940000,"Với thiết kế tối giản nhưng không kém phần thanh lịch, đồng hồ thông minh mới nhất của Samsung - Galaxy Watch Active, sẽ mang đến cho bạn trải nghiệm công nghệ và tính năng theo dõi sức khỏe tuyệt vời.
Thiết kế tối giản, thanh lịch và gọn nhẹ
Sự thanh lịch của Samsung Galaxy Watch Active đến từ việc kết hợp chất liệu kim loại và kính cao cấp. Bên cạnh đó, việc lược bỏ vòng bezel xoay và xu hướng gọn nhẹ giúp bạn thoải mái đeo đồng hồ thông minh Galaxy Watch Active trên tay.
Hoạt động nhiều hơn với Daily Activities
Smartwatch Samsung Galaxy Watch Active giúp bạn hoạt động nhiều hơn để nâng cao sức khỏe của mình. Tính năng Daily Activities sẽ nhắc nhở khi nào bạn cần bổ sung nước hay đứng dậy đi vài vòng khi ngồi quá lâu.
Tính năng cảnh báo stress
Nhờ vào cảm biến nhịp tim và phần mềm đặc biệt, Galaxy Watch Active có được khả năng theo dõi mức độ căng thẳng của bạn và cảnh báo khi nó đạt ngưỡng tối đa. Khi đó, bạn sẽ được gợi ý các phương pháp điều tiết hơi thở để giảm mức căng thẳng.",https://cdn.tgdd.vn/Products/Images/7077/200965/samsung-galaxy-watch-active-r500-10-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-46mm,Đồng hồ thông minh Samsung Galaxy watch 46mm,Samsung,7490000,"Chuẩn mực thời trang mới
Tổng thể Samsung Galaxy Watch 46mm có màu đen huyền sang trọng đi cùng thiết kế truyền thống với mặt đồng hồ tròn cổ điển, vòng xoay bezel cho khả năng điều hướng dễ dàng.
Dây đeo hiện đại
Samsung mang đến dây đeo với chất liệu silicone cho bạn cảm giác thoải mái khi đeo trong thời gian dài. Bên cạnh đó, các nút cài trên dây cho bạn khả năng đều chỉnh đồng hồ phù hợp với độ rộng của cổ tay.
Bộ đôi Super AMOLED và Gorilla DX+
Phiên bản 46mm có màn hình Super AMOLED cho hình ảnh sắc nét, dễ nhìn, dễ thao tác điều hướng, dễ sử dụng hơn, cùng với lớp kính được tăng cường độ bền bằng chất liệu Gorilla Glass DX+ hạn chế tối đa trầy xước khi va chạm.",https://cdn.tgdd.vn/Products/Images/7077/197089/samsung-galaxy-watch-46mm-bac-nt-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s3-gps-42mm-vien-nhom-day-cao-su-den,Apple Watch S3 GPS 42mm viền nhôm xám dây cao su màu đen MTF32VN/A,Apple,8090000,"Thiết kế hiện đại năng động
Về mặt tổng thể đồng hồ thông minh Apple Watch S3 GPS 42mm có kích thước tương tự như Apple Watch Series 2. Sản phẩm chú trọng thêm về mặt thẩm mỹ với thiết kế sang trọng, năng động, dây đeo có nhiều màu sắc khác nhau.
Dây đeo tháo rời tiện lợi
Dây đeo của Apple Watch S3 GPS, 42mm viền nhôm được thiết kế với khả năng dễ dàng tháo rời, cho phép người dùng linh hoạt thay đổi bằng các dây đeo màu sắc khác.
 Màn hình 1.65 inch lớn hơn
Màn hình đồng hồ thông minh Apple Watch phiên bản 42 mm lớn 2.1 inch hiển thị chi tiết ảnh nhiều hơn, mặt đồng hồ cảm ứng trang bị mặt kính cường lực Ion-X giúp bảo vệ mặt kính chống trầy xước tốt và hiển thị tốt dù là dưới ánh mặt trời.",https://cdn.tgdd.vn/Products/Images/7077/194536/apple-watch-s3-gps-42mm-vien-nhom-day-cao-su-den-nt-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt-xanh-la-cay,Đồng hồ thông minh Huawei Watch GT Active Edition màu xanh lá cây,Huawei,4190000,"Huawei Watch GT xanh lá là một sản phẩm được thiết kế với vẻ đẹp cổ điển, độ mỏng ấn tượng. Thời lượng pin dài lên đến 2 tuần cùng nhiều tính năng theo dõi và rèn luyện sức khỏe.
Thiết kế cổ điển, mỏng và đẹp mắt
Vỏ của smartwatch Huawei được thiết kế đẹp mắt với viền gốm, vỏ thép. Mặt đồng hồ mỏng 10.6mm. Tấm nền AMOLED 1.39” cho chất lượng hiển thị rất tốt ngay cả khi sử dụng ngoài trời. 
Mặt đồng hồ thông minh có thể dễ dàng thay đổi nhiều giao diện khác nhau.
Pin khủng- sử dụng liên tục lên đến 14 ngày
Huawei mang đến cho bạn một thiết bị có tuổi thọ pin cực tốt. Bạn có thể sử dụng đồng hồ trong hai tuần liền với chế độ đo nhịp tim luôn bật và theo dõi tập luyện 90 phút mỗi tuần. Nếu bạn bật tính năng theo dõi luyện tập, định vị và theo dõi nhịp tim thì con số này là 22 giờ. Pin sạc nam châm không dây giúp tiện lợi.
Công nghệ theo dõi và rèn luyện sức khỏe ",https://cdn.tgdd.vn/Products/Images/7077/200594/huawei-watch-gt-xanh-la-cay-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s4-gps-44mm-vien-nhom-day-cao-su-den,Apple Watch S4 GPS 44mm viền nhôm dây cao su màu đen (MU6D2VN/A),Apple,10790000,"Apple Watch S4 GPS 44mm viền nhôm dây cao su màu đen cho kiểu dáng thể thao mạnh mẽ. Màu đen cùng dây đeo đen khá bắt mắt. Màn hình 44m giúp hiển thị thông tin dễ nhìn, rõ ràng hơn cho người dùng.
Màn hình lớn
Màn hình lên đến 44m có viền màn hình mỏng, hiển thị thông tin rõ ràng hơn khá nhiều so với thế hệ trước. Ngoài ra phần thân đồng hồ cũng mỏng hơn đáng kể, cho kiểu dáng thời trang, nhẹ nhàng hơn.
Mặt đồng hồ thay được
Mặt đồng hồ điện tử hiển thị ngoài thời gian còn có rất nhiều thông tin hữu ích, như thời tiết, quá trình vận động trong ngày, giúp bạn dễ dàng theo dõi các thông tin trong ngày chỉ bằng việc nhìn vào đồng hồ. Ngoài ra, đồng hồ còn có nhiều hiệu ứng đẹp mắt để bạn thay thế theo ý thích.
Điện tâm đồ
Điện tâm đồ là chức năng khá hữu ích để theo dõi sức khỏe của bạn. Giờ đây, smartwatch Apple có thể đo được điện tâm đồ ngay trên cổ tay bạn, tính năng mới này nhờ vào cảm biến điện tử giúp đo nhịp tim cực kì chính xác, giúp bạn có nhiều thông tin hữu ích hơn về sức khỏe của mình.",https://cdn.tgdd.vn/Products/Images/7077/194392/apple-watch-s4-gps-44mm-vien-nhom-day-cao-su-den-nt-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s4-gps-44mm-vien-nhom-day-vai-hong,Apple Watch S4 GPS 44mm viền nhôm dây vải màu hồng (MU6G2VN/A),Apple,10790000,"Apple Watch S4 GPS 44mm viền nhôm dây vải màu hồng có thiết kế khá đơn giản và nổi bật. Sử dụng dây từ chất liệu vải, giúp đồng hồ cá tính hơn, nhẹ nhàng hơn khi đeo trong thời gian dài. Ngoài ra dây vải còn giúp bạn thấy dễ chịu hơn khi tay ra mồ hôi lúc vận động nhiều.
Thiết kế hoàn toàn mới
Mang một thiết kế thanh thoát hơn với màn hình lớn, nhưng vẫn giữ được kích thước cũ, cùng với dây đeo vải giúp cho trọng lượng khi đeo Apple Watch vô cùng nhẹ nhàng. Thân đồng hồ mỏng hơn cũng giúp tăng phần thời trang khi đeo đồng hồ. 
Thay mặt đồng hồ đa dạng
Mặt đồng hồ không những giúp xem giờ, giờ đây bạn còn có thể thêm được nhiều thông tin hữu ích, chuyển qua lại giữa các kiểu mặt đồng hồ khác nhau. Các kiểu mặt mới luôn được Apple thêm vào sau mỗi bản cập nhật, giúp bạn không bị nhàm chán khi có nhiều mặt đồng hồ khác nhau để lựa chọn.
Điện tâm đồ
Nâng cấp lớn nhất của đồng hồ thông minh Apple Watch Series 4 trong năm nay chính là khả năng đo điện tâm đồ, một biểu đồ chính xác về nhịp tim của bạn, từ các thông tin này, có thể giúp ích cho các bác sĩ khi theo dõi, điều trị sức khỏe cho bạn. Nó còn phát hiện khi nhịp tim của bạn có dấu hiệu nhanh hoặc chậm bất thường và thông báo cho bạn biết.",https://cdn.tgdd.vn/Products/Images/7077/194338/apple-watch-s4-gps-44mm-vien-nhom-day-vai-hong-nt-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt-cam,Đồng hồ thông minh Huawei Watch GT Active Edition màu cam,Huawei,4190000,"Bên trong vẻ ngoài sang trọng và mạnh mẽ, Huawei Watch GT cam sở hữu thời lượng pin đáng kinh ngạc, cùng công nghệ theo dõi sức khỏe sát sao, sẵn sàng cùng bạn chinh phục những cung đường và đỉnh cao mới.
Thiết kế cổ điển sang trọng, độ mỏng ấn tượng
Đồng hồ thông minh Huawei Watch GT có độ mỏng cực kỳ ấn tượng, 10.6 mm với vòng bezel bằng gốm sang trọng. Không những thế, Watch GT còn tự tin bởi độ bền đến từ khung thép không gỉ và lớp phủ carbon cao cấp.
Thời lượng pin dài
Mẫu smartwatch Huawei có thời lượng pin lên đến 2 tuần sử dụng thông thường (liên tục cập nhật thông báo, cuộc gọi, tin nhắn) và 22 giờ khi theo dõi luyện tập liên tục với cảm biến nhịp tim và GPS (thông tin được hãng công bố).
Theo dõi sức khỏe liên tục
Công nghệ theo dõi nhịp tim HUAWEI TruSeen™ 3.0 sử dụng tổ hợp các cảm biến hiện đại để đo nhịp tim của bạn liên tục một cách chính xác nhất.",https://cdn.tgdd.vn/Products/Images/7077/200593/huawei-watch-gt-cam-9-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-42mm,Đồng hồ thông minh Samsung Galaxy Watch 42mm,Samsung,6990000,"Samsung Galaxy Watch - Cá tính riêng của bạn
Là sự kết hợp giữa cổ điển và hiện đại với tính ứng dụng thông minh cùng phong cách thời trang. Samsung Galaxy Watch 42mm sở hữu kiểu dáng mặt tròn truyền thống kết hợp cùng nhiều mặt đồng hồ được trang bị dễ dàng thay đổi.
Dây đeo chất liệu cao su
Chất liệu cao su được sử dụng hạn chế tối đa việc bong tróc khi dây tiếp xúc với mồ hôi lúc vận động trong thời gian dài hoặc dùng trong môi trường nước. Thêm vào đó, dây với khả năng tháo rời cho bạn tạo nên phong cách riêng với các loại dây đeo màu sắc khác nhau.
Tấm nền Super Amoled
Màn hình được Samsung trang bị mặt kính Gorilla DX+ kết hợp công nghệ màn hình Super Amoled, độ phân giải 360x360 pixels mật độ điểm ảnh khoảng 390 (ppi) cho hình ảnh sắc nét, chi tiết từng điểm ảnh.",https://cdn.tgdd.vn/Products/Images/7077/197085/samsung-galaxy-watch-42mm-nt-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-42mm-rose-gold,Đồng hồ thông minh Samsung Galaxy Watch 42mm Rose Gold,Samsung,6990000,"Phong cách riêng của phái nữ
Sở hữu thiết kế tương tự như phiên bản 42mm màu đen, nét riêng của Samsung Galaxy Watch Rose Gold là khoác lên mình màu vàng hồng thanh lịch sang trọng, mang đến sự cá tính, thời trang riêng cho các bạn gái.
Dây đeo chất liệu silicone
Dây đeo chất liệu silicone gọn nhẹ cho bạn khi đeo cả ngày dài vẫn cảm thấy thoải mái, dễ chịu. Bạn có thể thay đổi phong cách với dây đeo khác màu nhờ vào khả năng tháo rời dây.
Công nghệ màn hình Super AMOLED
Thông tin, hình ảnh thông báo hiển thị chi tiết, rõ nét từng điểm ảnh kể cả khi bạn đang tập luyện hay di chuyển ngoài trời, nhờ vào tấm nền Super AMOLED cùng độ phân giải 360x360 pixels được Samsung trang bị trên Galaxy Watch.",https://cdn.tgdd.vn/Products/Images/7077/197483/samsung-galaxy-watch-42mm-rose-gold-nt-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/samsung-gear-fit2-pro,Vòng đeo tay thông minh Samsung Gear Fit2 Pro,Samsung,2790000,"Mở hộp Samsung Gear Fit 2 Pro - Thiết kế và màu sắc đẹp, song hành sự tiện dụng
Vẫn kiểu dáng thon gọn như dòng Gear đời đầu, mặt vòng đeo tay thông minh Samsung Gear Fit2 Pro hơi cong ôm sát cổ tay thoải mái hơn.
Tính năng chăm sóc sức khỏe là điều không thể không có, cảm biến được đặt mặt sau vòng đeo tay, với các ứng dụng như đếm bước chân, đo nhịp tim, oxi, ghi lại quãng đường chạy bằng GPS...
Sử dụng công nghệ màn hình AMOLED giúp bạn theo dõi thông tin hiển thị khi ngoài trời được tốt hơn
Màu sắc và chi tiết hiện ra rất sắc sảo và rõ nét, rất dễ để đọc và thao tác trên vòng đeo tay thông minh này.",https://cdn.tgdd.vn/Products/Images/7077/147042/samsung-gear-fit2-pro-2-330x330.png
https://www.thegioididong.com/dong-ho-thong-minh/huawei-band-3e-mau-den,Vòng tay thông minh Huawei Band 3e màu đen,Huawei,590000,"Vòng tay thông minh Huawei Band 3e là thiết bị đeo mang trong mình nhiều công nghệ đột phá với kích thước và trọng lượng siêu nhỏ cùng nhiều chế độ hỗ trợ tập luyện.
Thiết kế nhỏ gọn
Sẽ thật khó tin nhưng chiếc vòng thông minh với nhiều công nghệ bên trong này chỉ có trọng lượng là 17 gam. Bạn sẽ nhanh chóng quên đi sự có mặt của nó bên người với mức trọng lượng siêu nhẹ.  
Chế độ đeo lên giày độc đáo
Nếu bạn là tín đồ của bộ môn chạy bộ thì vòng tay thông minh Huawei Band 3e sẽ là 1 sự lựa chọn khó bỏ qua. Vòng được trang bị chế độ đeo lên giày độc đáo giúp theo dõi và cung cấp dữ liệu chạy bộ một cách chính xác.
Huấn luyện viên chạy bộ chuyên nghiệp
Vòng tay thông minh Huawei Band 3e có tới 7 thông số để giám sát và phân tích các bước chạy của bạn. Nhờ đó, vòng sẽ đưa ra những đề xuất thông minh giúp bạn tập luyện tốt hơn và hiệu quả hơn. Ngoài ra, Huawei Band 3e còn có khả năng theo dõi đến từng bước chạy của người dùng. Vòng sẽ kiểm tra và đánh giá cách mà bàn chân bạn tiếp xúc với mặt đất và đưa ra những gợi ý để tránh cho bạn bị chấn thương trong quá trình tập luyện.",https://cdn.tgdd.vn/Products/Images/7077/194498/dong-ho-thong-minh-huawei-band-3e-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s4-gps-44mm-vien-nhom-day-vai-xam,Apple Watch S4 GPS 44mm viền nhôm dây vải màu bạc (MU6C2VN/A),Apple,11990000,"Apple Watch S4 GPS 44mm viền nhôm dây vải màu xám bền bỉ và cao cấp phù hợp cho người dùng thích một chiếc đồng hồ đa năng, gọn nhẹ, thoải mái khi đeo trong thời gian dài với dây vải vừa gọn gàng và thiết kế đơn giản, nhẹ nhàng.
Thiết kế hoàn toàn mới
Với thiết kế mỏng hơn, màn hình lớn hơn nhưng vẫn giữ nguyên được kích thước tổng thể như các dòng sản phẩm trước. Smartwatch Apple thế hệ 4 đã trông thời trang hơn rất nhiều, cùng với màn hình hiển thị lớn hơn với viền mỏng hơn cho trải nghiệm chân thực khi sử dụng.
Đo nhịp tim và điện tâm đồ
Tích hợp cảm biến đo nhịp tim điện tử chính xác hơn rất nhiều so với cảm biến quang thông thường, đồng hồ thông minh Apple Watch đã có thể đo được điện tâm đồ, giúp ích cho bạn trong việc theo dõi sức khỏe hàng ngày.
Lưu ý: Tính năng ECG hiện chưa được hỗ trợ sử dụng ở Việt Nam, sẽ sử dụng được ở những bản cập nhật sau.
Nhắc nhở sức khỏe",https://cdn.tgdd.vn/Products/Images/7077/194390/apple-watch-s4-gps-44mm-vien-nhom-day-vai-xam-nt-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/huawei-watch-gt,Đồng hồ thông minh Huawei Watch GT,Huawei,3990000,"Thiết kế mảnh khảnh, đẹp mắt
Huawei Watch GT có thiết kế vỏ gốm, vỏ thép không gỉ và lớp phủ DLC. Một điểm vô cùng đặc biệt ở Huawei Watch GT đó là lần đầu tiên, Huawei sử dụng hệ điều hành của riêng mình dùng cho đồng hồ thông minh. Đó chính là hệ điều hành LiteOS. Chính hệ điều hành riêng biệt này làm cho Huawei Watch GT có thời lượng pin khủng.
Mặt đồng hồ mỏng, nhiều giao diện
Mặt đồng hồ Huawei Watch GT được thiết kế mỏng hơn, chỉ 10.6mm. Màn hình Watch GT bây giờ là một tấm nền AMOLED 1.39” với chất lượng màu hiển thị tốt, kể cả khi sử dụng ngoài trời. Giao diện màn hình trên đồng hồ thông minh Huawei Watch GT này có thể dễ dàng thay đổi bằng nhiều mặt đồng hồ khác nhau.
Tuổi thọ pin 2 tuần - Du lịch không giới hạn
Sử dụng hệ điều hành LiteOS và chipset kép đầu tiên trong ngành nên Huawei Watch GT có thời lượng pin tốt nhất từ trước đến nay. Cụ thể, smartwatch Watch GT có thể sử dụng 2 tuần liền nếu bạn chỉ sử dụng tính năng đo nhịp tim ít nhất 90 phút mỗi tuần. Nếu không sử dụng những tính năng thể thao, bạn có thể sử dụng Watch GT lên đến 30 ngày. Ngoài ra bạn có thể sử dụng tối đa các tính năng thể thao bao gồm đo nhịp tim và GPS trong 22 giờ liền.",https://cdn.tgdd.vn/Products/Images/7077/197790/huawei-watch-gt-nt-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s4-gps-40mm-vien-nhom-mau-hong,Apple Watch S4 GPS 40mm Viền Nhôm dây cao su màu hồng (MU682VN/A),Apple,10790000,"Thiết kế mới
Sở hữu thiết kế với thân đồng hồ mỏng hơn so với các thế hệ trước, nhẹ nhàng thoải mái khi đeo trong thời gian dài.
Màn hình trên đồng hồ thông minh Apple S4 nay đã được nâng cấp lên đến 2.0 inch, cho màn hình lớn hơn.
Mặt đồng hồ với nhiều lựa chọn như khói, lửa, chế độ luyện tập... cho bạn linh hoạt thay đổi tránh sự nhàm chán.
Tiện ích sức khỏe
Với cảm biến đo nhịp tim điện tử được tích hợp thay thế cho cảm biến quang mang đến kết quả chuẩn xác hơn, hỗ trợ phát hiện những điều bất thường cũng như các bệnh lí tim mạch từ sớm, bảo vệ một trái tim khỏe mạnh hơn.
- Chế độ thở, nhắc nhở khi bạn cần thở đều, đứng dậy đi lại.
- Khuyến khích vận động, tập thể dục hàng ngày.
- Cảnh báo khi nhịp tim xuống quá thấp hoặc lên quá cao.",https://cdn.tgdd.vn/Products/Images/7077/194323/apple-watch-s4-gps-40mm-vien-nhom-mau-hong-nt-600x600.jpg
https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s4-gps-40mm-vien-nhom-day-cao-su-den,Apple Watch S4 GPS 40mm viền nhôm dây cao su màu đen (MU662VN/A),Apple,10790000,"Thiết kế mới với dây cao su màu đen
Đồng hồ thông minh Apple Watch S4 GPS 40mm có thiết kế với dây đeo sử dụng chất liệu cao su màu đen tinh tế với nút cài, cho bạn dễ dàng thay đổi độ rộng của dây.
Màn hình của đồng hồ được trang bị tấm nền OLED cho chất lượng hình ảnh, thông tin hiển thị với màu sắc rõ nét, chi tiết rõ ràng hơn, tiện lợi khi dùng ở ngoài trời.
Những tiện ích sức khỏe
Cảm biến đo nhịp tim điện tử được tích hợp trên Apple Watch S4 sẽ theo dõi và phân tích sức khỏe của bạn với các chế độ dưới đây:
- Chế độ thở, nhắc nhở khi bạn cần đứng dậy đi lại để có nhịp độ thở đều hơn.
- Khuyến khích vận động, tập thể dục hàng ngày.
- Cảnh báo khi nhịp tim xuống quá thấp hoặc lên quá cao.
- S4 với tính năng nổi bật là khả năng đo điện tâm đồ (ECG). Để kích hoạt, bạn chỉ cần đặt tay lên nút xoay Digital Crown trong khoảng 30 giây.",https://cdn.tgdd.vn/Products/Images/7077/194334/apple-watch-s4-gps-40mm-vien-nhom-day-cao-su-den-nt-600x600.jpg
